Animal ID,Date of Birth,Name,DateTime,MonthYear,Outcome Type,Outcome Subtype,Animal Type,Sex upon Outcome,Age upon Outcome,Breed,Color
A708730,7/30/13,Cookie,2016-06-21T15:53:00,Jun-16,Transfer,Partner,Dog,Intact Female,2 years,Pit Bull Mix,Black/White
A729168,6/5/16,,2016-06-21T15:54:00,Jun-16,Transfer,Partner,Dog,Unknown,2 weeks,Pit Bull Mix,Black/White
A729169,6/5/16,,2016-06-21T15:54:00,Jun-16,Transfer,Partner,Dog,Unknown,2 weeks,Pit Bull Mix,Black/White
A729170,6/5/16,,2016-06-21T15:55:00,Jun-16,Transfer,Partner,Dog,Unknown,2 weeks,Pit Bull Mix,Black/White
A729171,6/5/16,,2016-06-21T15:55:00,Jun-16,Transfer,Partner,Dog,Unknown,2 weeks,Pit Bull Mix,White/Black
A729173,6/5/16,,2016-06-21T15:55:00,Jun-16,Transfer,Partner,Dog,Unknown,2 weeks,Pit Bull Mix,White/Black
A729174,6/5/16,,2016-06-21T15:55:00,Jun-16,Transfer,Partner,Dog,Unknown,2 weeks,Pit Bull Mix,Black/White
A724829,4/21/16,Ruby,2016-06-21T15:56:00,Jun-16,Adoption,Foster,Dog,Spayed Female,1 month,Labrador Retriever Mix,Black/White
A729430,6/18/12,Bandit,2016-06-21T15:58:00,Jun-16,Transfer,Partner,Dog,Neutered Male,4 years,Chihuahua Shorthair/Dachshund,Red
A729284,6/15/13,*Margie,2016-06-21T15:59:00,Jun-16,Transfer,Partner,Dog,Intact Female,3 years,Chihuahua Shorthair Mix,Red
A729285,6/15/12,*Rita,2016-06-21T15:59:00,Jun-16,Transfer,Partner,Dog,Intact Female,4 years,Chihuahua Shorthair Mix,Red
A729322,6/16/15,*Parker,2016-06-21T15:59:00,Jun-16,Transfer,Partner,Dog,Intact Male,1 year,Cairn Terrier Mix,Black/White
A728373,4/18/16,Harley,2016-06-21T16:47:00,Jun-16,Adoption,,Dog,Spayed Female,2 months,Pit Bull Mix,Tan/White
A729319,3/25/16,,2016-06-21T17:06:00,Jun-16,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Brown Tabby
A728372,4/18/16,*Thelma,2016-06-21T17:21:00,Jun-16,Adoption,,Dog,Spayed Female,2 months,Pit Bull Mix,White/Cream
A729260,12/15/15,*Buttercup,2016-06-21T17:22:00,Jun-16,Adoption,,Dog,Spayed Female,6 months,Pit Bull Mix,Tan/White
A729323,2/21/16,,2016-06-21T17:44:00,Jun-16,Adoption,,Dog,Spayed Female,3 months,Cairn Terrier Mix,Chocolate/Yellow
A725607,3/19/16,*Jimmy,2016-06-21T18:13:00,Jun-16,Adoption,Foster,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Brown Tabby/White
A723626,3/13/16,,2016-06-22T07:44:00,Jun-16,Adoption,Foster,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Orange Tabby/White
A727897,4/21/16,Ziggy,2016-06-22T07:57:00,Jun-16,Adoption,Foster,Dog,Spayed Female,2 months,Pit Bull Mix,Black/White
A729636,6/21/14,,2016-06-22T09:00:00,Jun-16,Transfer,SCRP,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Tortie
A729616,6/21/15,,2016-06-22T09:00:00,Jun-16,Transfer,SCRP,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Black/White
A729633,12/20/10,*Oliver,2016-06-22T09:00:00,Jun-16,Transfer,SCRP,Cat,Neutered Male,5 years,Domestic Shorthair Mix,Blue/White
A729612,6/21/15,,2016-06-22T09:00:00,Jun-16,Transfer,SCRP,Cat,Intact Female,1 year,Domestic Shorthair Mix,Black/White
A729614,6/21/15,,2016-06-22T09:00:00,Jun-16,Transfer,SCRP,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Black/White
A728135,12/31/15,*Marble,2016-06-22T09:28:00,Jun-16,Adoption,Foster,Dog,Neutered Male,5 months,Rhod Ridgeback Mix,Brown/White
A727136,4/3/16,*Highway,2016-06-22T10:41:00,Jun-16,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Calico
A727100,3/31/16,Finley,2016-06-22T11:11:00,Jun-16,Adoption,Foster,Cat,Intact Male,2 months,Domestic Shorthair Mix,Blue Tabby/White
A729334,6/21/15,,2016-06-22T12:21:00,Jun-16,Adoption,,Dog,Neutered Male,1 year,Maltese Mix,Black/White
A726337,3/29/16,,2016-06-22T13:32:00,Jun-16,Adoption,Foster,Dog,Spayed Female,2 months,Great Pyrenees Mix,Sable/White
A725572,3/29/16,*Daisy,2016-06-22T13:35:00,Jun-16,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Blue
A722283,3/7/16,,2016-06-22T13:39:00,Jun-16,Adoption,Foster,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Calico
A722284,3/7/16,,2016-06-22T13:43:00,Jun-16,Adoption,Foster,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Black/White
A722281,3/7/16,,2016-06-22T13:43:00,Jun-16,Adoption,Foster,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Calico
A724738,4/21/15,,2016-06-22T13:54:00,Jun-16,Adoption,Foster,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Black/White
A724739,4/6/16,,2016-06-22T13:54:00,Jun-16,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black
A724740,4/6/16,,2016-06-22T14:00:00,Jun-16,Adoption,Foster,Cat,Spayed Female,2 months,Siamese Mix,Seal Point
A724741,4/6/16,,2016-06-22T14:00:00,Jun-16,Adoption,Foster,Cat,Neutered Male,2 months,Siamese Mix,Lilac Point
A725490,4/29/10,Evy,2016-06-22T14:10:00,Jun-16,Adoption,Foster,Dog,Spayed Female,6 years,German Shepherd Mix,Black/Tan
A726199,3/20/16,*Ronan,2016-06-22T14:33:00,Jun-16,Adoption,Foster,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Orange Tabby/White
A726200,3/20/16,*Rita,2016-06-22T14:36:00,Jun-16,Adoption,Foster,Cat,Spayed Female,3 months,Domestic Shorthair Mix,White/Black
A720651,11/26/15,Lily,2016-06-22T15:21:00,Jun-16,Adoption,,Dog,Spayed Female,6 months,German Shepherd Mix,Black/Brown
A729092,4/13/16,*Angei,2016-06-22T15:22:00,Jun-16,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Calico
A729093,4/13/16,Gizmo,2016-06-22T15:35:00,Jun-16,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black/White
A724731,4/21/10,Luna,2016-06-22T16:28:00,Jun-16,Adoption,Foster,Dog,Spayed Female,6 years,Siberian Husky Mix,Sable
A729481,6/19/15,,2016-06-22T17:02:00,Jun-16,Transfer,Partner,Dog,Neutered Male,1 year,Cairn Terrier Mix,Tan
A728494,6/4/14,,2016-06-22T17:15:00,Jun-16,Adoption,,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Brown Tabby
A729431,6/18/14,,2016-06-22T17:25:00,Jun-16,Adoption,,Dog,Neutered Male,2 years,Miniature Poodle Mix,White
A729399,3/28/16,,2016-06-22T17:25:00,Jun-16,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby/White
A727501,5/22/14,*Libby,2016-06-22T17:35:00,Jun-16,Adoption,Foster,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Blue Tabby
A729505,11/4/15,Toby,2016-06-22T17:45:00,Jun-16,Adoption,,Dog,Neutered Male,7 months,Pit Bull/Labrador Retriever,Black/White
A723551,4/3/16,*Tiago,2016-06-22T17:53:00,Jun-16,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby
A729452,4/18/16,,2016-06-22T18:02:00,Jun-16,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Lynx Point
A727504,4/22/16,*Charlie,2016-06-22T18:22:00,Jun-16,Adoption,Foster,Cat,Neutered Male,1 month,Domestic Shorthair Mix,Brown Tabby
A728693,7/28/14,Zelda,2016-06-22T18:34:00,Jun-16,Adoption,,Dog,Spayed Female,1 year,Pit Bull/Pointer,Black/Blue Tick
A726338,3/29/16,,2016-06-22T18:41:00,Jun-16,Adoption,Foster,Dog,Neutered Male,2 months,Great Pyrenees Mix,Sable/White
A729474,6/19/12,,2016-06-22T18:45:00,Jun-16,Adoption,,Dog,Spayed Female,4 years,Miniature Poodle Mix,Cream/White
A728505,6/5/15,*Charlie,2016-06-22T19:10:00,Jun-16,Adoption,,Dog,Neutered Male,1 year,Chihuahua Shorthair Mix,White/Tan
A728629,6/6/14,*Antonio,2016-06-22T20:05:00,Jun-16,Adoption,,Dog,Neutered Male,2 years,Papillon Mix,Red/Black
A729670,6/22/15,,2016-06-23T09:00:00,Jun-16,Transfer,SCRP,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Blue Tabby
A729684,6/22/15,,2016-06-23T09:00:00,Jun-16,Transfer,SCRP,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Brown Tabby
A727145,5/18/14,Drake,2016-06-23T09:59:00,Jun-16,Adoption,Foster,Dog,Neutered Male,2 years,Catahoula Mix,Brown Brindle/White
A727366,4/9/16,*Lisa,2016-06-23T10:37:00,Jun-16,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Calico
A727368,4/9/16,*Ms Krabappl,2016-06-23T10:38:00,Jun-16,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Calico
A725573,4/3/16,*Rose,2016-06-23T10:40:00,Jun-16,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Blue Tabby/White
A725574,4/3/16,*Violet,2016-06-23T10:48:00,Jun-16,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Blue Tabby/White
A729454,5/27/16,*Teeny,2016-06-23T12:12:00,Jun-16,Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Blue/White
A729455,5/27/16,*Tom,2016-06-23T12:13:00,Jun-16,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Blue/White
A729457,5/27/16,*Tiny,2016-06-23T12:13:00,Jun-16,Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Black/White
A728963,5/4/16,*Tinker Bell,2016-06-23T12:13:00,Jun-16,Transfer,Partner,Cat,Intact Female,1 month,Domestic Medium Hair Mix,Torbie/White
A729117,4/28/16,*Maximus,2016-06-23T12:14:00,Jun-16,Transfer,Partner,Cat,Intact Male,1 month,Domestic Medium Hair Mix,Black
A729490,6/19/13,Benny,2016-06-23T12:34:00,Jun-16,Transfer,Partner,Dog,Intact Male,3 years,Lhasa Apso Mix,White
A729543,6/20/12,,2016-06-23T12:34:00,Jun-16,Transfer,Partner,Dog,Spayed Female,4 years,Lhasa Apso Mix,Buff/Gray
A726364,5/10/11,*Yessenia,2016-06-23T12:49:00,Jun-16,Adoption,,Cat,Spayed Female,5 years,Domestic Medium Hair Mix,Blue Tabby
A726845,4/15/16,,2016-06-23T13:20:00,Jun-16,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Longhair Mix,Black
A719840,1/28/15,*Houston,2016-06-23T13:21:00,Jun-16,Adoption,,Dog,Spayed Female,1 year,Plott Hound Mix,Brown Brindle
A729520,6/19/07,*Charlotte,2016-06-23T14:09:00,Jun-16,Transfer,Partner,Cat,Intact Female,9 years,Siamese Mix,Lynx Point
A728891,12/10/15,Sissy,2016-06-23T14:09:00,Jun-16,Transfer,Partner,Cat,Spayed Female,6 months,Domestic Shorthair Mix,Brown Tabby/White
A729178,6/14/07,Jack,2016-06-23T14:10:00,Jun-16,Transfer,Partner,Dog,Intact Male,9 years,Jack Russell Terrier Mix,White
A726863,3/31/16,Tigger,2016-06-23T15:24:00,Jun-16,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby/White
A729523,4/5/16,,2016-06-23T15:39:00,Jun-16,Adoption,,Dog,Neutered Male,2 months,Labrador Retriever Mix,Black
A726859,2/15/15,Elusive,2016-06-23T16:30:00,Jun-16,Adoption,,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Calico
A726929,5/16/13,Lobo,2016-06-23T16:30:00,Jun-16,Adoption,,Dog,Neutered Male,3 years,Australian Shepherd Mix,Black/Tricolor
A729489,12/19/13,,2016-06-23T16:39:00,Jun-16,Transfer,Partner,Dog,Spayed Female,2 years,Brittany Mix,White/Liver
A729762,6/13/16,,2016-06-23T17:23:00,Jun-16,Transfer,Partner,Cat,Unknown,1 weeks,Domestic Shorthair Mix,Black Tabby
A729763,6/13/16,,2016-06-23T17:23:00,Jun-16,Transfer,Partner,Cat,Unknown,1 weeks,Domestic Shorthair Mix,Black Tabby
A729764,6/13/16,,2016-06-23T17:24:00,Jun-16,Transfer,Partner,Cat,Unknown,1 weeks,Domestic Shorthair Mix,Tortie
A729761,6/18/16,,2016-06-23T17:24:00,Jun-16,Transfer,Partner,Cat,Unknown,5 days,Domestic Shorthair Mix,Gray Tabby/White
A729522,4/5/16,Poppy,2016-06-23T17:37:00,Jun-16,Adoption,,Dog,Neutered Male,2 months,Labrador Retriever Mix,Black
A729496,4/4/16,,2016-06-23T18:32:00,Jun-16,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby
A689992,6/18/15,Princess,2016-06-23T18:35:00,Jun-16,Adoption,,Dog,Spayed Female,1 year,Pit Bull Mix,Black/White
A729113,3/28/16,,2016-06-23T19:18:00,Jun-16,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Brown Tabby/White
A729370,4/2/16,,2016-06-23T22:37:00,Jun-16,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Brown Tabby
A729618,5/14/16,*Apple,2016-06-24T07:33:00,Jun-16,Transfer,Partner,Cat,Intact Female,1 month,Domestic Shorthair Mix,Calico
A729777,12/23/15,,2016-06-24T09:00:00,Jun-16,Transfer,SCRP,Cat,Intact Female,6 months,Domestic Shorthair Mix,Orange Tabby/White
A729778,6/23/15,,2016-06-24T09:00:00,Jun-16,Transfer,SCRP,Cat,Intact Female,1 year,Domestic Shorthair Mix,Torbie/White
A729779,6/23/15,,2016-06-24T09:00:00,Jun-16,Transfer,SCRP,Cat,Intact Female,1 year,Domestic Shorthair Mix,Tortie
A725578,4/15/16,Barson,2016-06-24T11:09:00,Jun-16,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Brown Tabby
A726410,2/12/16,*Jinger,2016-06-24T11:38:00,Jun-16,Adoption,Foster,Cat,Spayed Female,4 months,Domestic Shorthair Mix,Cream Tabby
A726860,5/15/14,*Cici,2016-06-24T11:51:00,Jun-16,Adoption,Foster,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Orange Tabby
A728741,4/7/16,Dutchess,2016-06-24T12:47:00,Jun-16,Adoption,,Dog,Spayed Female,2 months,Pit Bull Mix,Fawn/White
A725855,5/3/14,*Morrison,2016-06-24T13:09:00,Jun-16,Adoption,,Dog,Spayed Female,2 years,German Shepherd Mix,Brown Brindle/White
A556525,4/24/09,Tito,2016-06-24T13:14:00,Jun-16,Transfer,Partner,Dog,Neutered Male,7 years,Cocker Spaniel Mix,Black
A714029,8/23/15,Ghost,2016-06-24T14:13:00,Jun-16,Adoption,Foster,Cat,Spayed Female,10 months,Domestic Shorthair Mix,Tortie Point
A729355,2/11/16,*Bridget,2016-06-24T14:31:00,Jun-16,Transfer,Partner,Cat,Intact Female,4 months,Domestic Shorthair Mix,Torbie/Brown Tabby
A729082,3/22/16,,2016-06-24T14:32:00,Jun-16,Adoption,,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Brown Tabby/White
A729080,3/22/16,,2016-06-24T14:32:00,Jun-16,Adoption,,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Brown Tabby/White
A729389,6/17/14,Lulu,2016-06-24T15:23:00,Jun-16,Adoption,,Dog,Spayed Female,2 years,Australian Kelpie Mix,Brown Merle
A729846,5/24/16,,2016-06-24T15:24:00,Jun-16,Transfer,Partner,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,Black
A729847,5/24/16,,2016-06-24T15:24:00,Jun-16,Transfer,Partner,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,Black
A729848,5/24/16,,2016-06-24T15:24:00,Jun-16,Transfer,Partner,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,Black
A729849,6/2/16,,2016-06-24T15:24:00,Jun-16,Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Brown Tabby
A729850,6/2/16,,2016-06-24T15:24:00,Jun-16,Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Tortie
A729851,6/2/16,,2016-06-24T15:24:00,Jun-16,Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Brown Tabby
A729852,6/2/16,,2016-06-24T15:24:00,Jun-16,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Black
A729853,5/17/16,,2016-06-24T15:24:00,Jun-16,Transfer,Partner,Cat,Intact Male,1 month,Domestic Shorthair Mix,Black
A729854,5/17/16,,2016-06-24T15:24:00,Jun-16,Transfer,Partner,Cat,Intact Male,1 month,Domestic Shorthair Mix,Brown Tabby
A729855,5/17/16,,2016-06-24T15:24:00,Jun-16,Transfer,Partner,Cat,Intact Male,1 month,Domestic Shorthair Mix,Black
A729856,5/17/16,,2016-06-24T15:24:00,Jun-16,Transfer,Partner,Cat,Intact Male,1 month,Domestic Shorthair Mix,Brown Tabby/White
A729857,5/17/16,,2016-06-24T15:24:00,Jun-16,Transfer,Partner,Cat,Intact Female,1 month,Domestic Shorthair Mix,Tortie
A729858,5/17/16,,2016-06-24T15:24:00,Jun-16,Transfer,Partner,Cat,Intact Female,1 month,Domestic Shorthair Mix,Tortie
A729681,6/22/14,Lady Lola,2016-06-24T16:24:04,Jun-16,Transfer,Partner,Dog,Intact Female,2 years,Havanese,White/Chocolate
A729662,12/21/14,King Aurthur,2016-06-24T16:24:33,Jun-16,Transfer,Partner,Dog,Intact Male,1 year,Shih Tzu,White/Gray
A536404,3/1/08,Chulita,2016-06-24T16:47:00,Jun-16,Adoption,,Dog,Spayed Female,8 years,Chihuahua Shorthair Mix,Tan/White
A729565,4/5/16,,2016-06-24T17:04:00,Jun-16,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Silver Tabby/White
A728941,4/1/16,Theo,2016-06-24T17:57:00,Jun-16,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby
A709674,11/12/14,*Marty,2016-06-24T18:02:00,Jun-16,Adoption,,Dog,Neutered Male,1 year,Golden Retriever Mix,Red
A724987,4/14/16,,2016-06-24T18:23:00,Jun-16,Adoption,,Cat,Neutered Male,2 months,Domestic Medium Hair Mix,Orange Tabby
A729377,3/17/16,,2016-06-24T18:25:00,Jun-16,Adoption,,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Gray Tabby
A729376,3/17/16,,2016-06-24T18:34:00,Jun-16,Adoption,,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Orange Tabby/White
A725607,3/19/16,*Jimmy,2016-06-24T18:43:00,Jun-16,Adoption,,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Brown Tabby/White
A703225,4/6/15,Paloma,2016-06-24T18:50:00,Jun-16,Adoption,,Dog,Spayed Female,1 year,Great Pyrenees Mix,White/Brown
A728525,4/28/16,*Willie,2016-06-24T19:03:00,Jun-16,Adoption,Foster,Dog,Neutered Male,1 month,Beagle Mix,Tricolor
A728345,6/2/14,*Iris,2016-06-24T19:18:00,Jun-16,Adoption,,Dog,Spayed Female,2 years,Anatol Shepherd Mix,Tan
A729747,5/8/16,,2016-06-24T19:28:00,Jun-16,Transfer,Partner,Cat,Intact Female,1 month,Domestic Shorthair Mix,Black/White
A729748,5/8/16,,2016-06-24T19:28:00,Jun-16,Transfer,Partner,Cat,Intact Male,1 month,Domestic Shorthair Mix,Brown Tabby
A727634,5/24/12,*Daisy,2016-06-24T19:29:00,Jun-16,Adoption,,Cat,Spayed Female,4 years,Domestic Shorthair Mix,Calico
A729833,6/24/15,,2016-06-25T09:00:00,Jun-16,Transfer,SCRP,Cat,Intact Female,1 year,Domestic Shorthair Mix,Brown Tabby
A729841,3/24/16,,2016-06-25T09:00:00,Jun-16,Transfer,SCRP,Cat,Intact Male,3 months,Domestic Shorthair Mix,Blue Tabby
A729805,2/24/16,,2016-06-25T09:00:00,Jun-16,Transfer,SCRP,Cat,Intact Female,4 months,Domestic Shorthair Mix,Orange Tabby
A729815,6/24/14,,2016-06-25T09:00:00,Jun-16,Transfer,SCRP,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Blue
A729819,6/24/15,,2016-06-25T09:00:00,Jun-16,Transfer,SCRP,Cat,Intact Female,1 year,Domestic Shorthair Mix,Brown Tabby
A729820,6/24/14,,2016-06-25T09:00:00,Jun-16,Transfer,SCRP,Cat,Intact Female,2 years,Domestic Shorthair Mix,Tortie
A725546,3/29/16,*Clyde,2016-06-25T11:18:00,Jun-16,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black
A726193,5/7/07,Rilo,2016-06-25T11:21:00,Jun-16,Transfer,Partner,Cat,Spayed Female,9 years,Domestic Medium Hair Mix,Orange Tabby
A728989,4/27/16,*Poiret,2016-06-25T11:23:00,Jun-16,Transfer,Partner,Cat,Intact Male,1 month,Domestic Shorthair Mix,Black
A728359,4/2/16,*Pepper,2016-06-25T11:25:00,Jun-16,Adoption,,Dog,Neutered Male,2 months,Labrador Retriever Mix,Black/White
A729011,6/12/11,Nigel,2016-06-25T11:36:00,Jun-16,Adoption,,Dog,Neutered Male,5 years,German Shepherd Mix,Black/Tan
A729567,4/1/16,,2016-06-25T12:35:00,Jun-16,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Tortie
A729557,4/20/16,,2016-06-25T12:49:00,Jun-16,Adoption,,Dog,Spayed Female,2 months,Plott Hound Mix,White/Brown Brindle
A727116,4/15/16,*Mary,2016-06-25T13:14:00,Jun-16,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Brown Tabby/White
A727117,4/15/16,*Elizabeth,2016-06-25T13:15:00,Jun-16,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Brown Tabby/White
A728366,6/3/12,Harley,2016-06-25T13:29:00,Jun-16,Adoption,,Dog,Neutered Male,4 years,Australian Cattle Dog Mix,Blue Tick/Black
A721333,2/24/14,Geronimo,2016-06-25T14:24:00,Jun-16,Adoption,,Dog,Neutered Male,2 years,Pit Bull Mix,Brown/White
A727862,5/26/15,Chance,2016-06-25T14:49:00,Jun-16,Adoption,,Dog,Neutered Male,1 year,Labrador Retriever Mix,Brown/White
A729494,6/19/14,*Jerry,2016-06-25T14:55:00,Jun-16,Transfer,Partner,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,Tan/White
A729897,3/25/16,,2016-06-25T14:56:00,Jun-16,Transfer,Partner,Dog,Intact Male,3 months,Chihuahua Shorthair Mix,Black/Tricolor
A729526,6/19/15,*Sophie,2016-06-25T15:15:00,Jun-16,Transfer,Partner,Dog,Intact Female,1 year,Labrador Retriever Mix,Yellow
A728346,11/2/15,*Jaxs,2016-06-25T15:18:00,Jun-16,Adoption,,Dog,Neutered Male,7 months,Boxer/Pit Bull,Brown Brindle/White
A729561,6/20/13,Coco,2016-06-25T15:20:00,Jun-16,Adoption,,Dog,Spayed Female,3 years,English Shepherd Mix,Sable/White
A729491,6/20/15,Cracker,2016-06-25T15:32:00,Jun-16,Adoption,,Dog,Neutered Male,1 year,German Shepherd Mix,Chocolate/Tan
A728132,7/31/15,*Mack,2016-06-25T15:46:00,Jun-16,Adoption,,Dog,Neutered Male,10 months,German Shepherd Mix,Tan/Black
A729419,6/18/15,*Rugger,2016-06-25T16:01:00,Jun-16,Adoption,,Dog,Neutered Male,1 year,Dachshund Mix,Brown
A728247,6/1/14,Angel,2016-06-25T16:59:00,Jun-16,Adoption,,Dog,Neutered Male,2 years,Siberian Husky Mix,Sable/White
A725074,3/20/16,*Victorn,2016-06-25T17:02:00,Jun-16,Adoption,,Cat,Neutered Male,3 months,Domestic Shorthair,Black
A726702,5/13/11,Pretty Boy,2016-06-25T17:09:00,Jun-16,Adoption,Foster,Cat,Neutered Male,5 years,Siamese Mix,Flame Point
A725979,5/1/16,,2016-06-25T17:13:00,Jun-16,Adoption,Foster,Dog,Neutered Male,1 month,Chihuahua Shorthair Mix,Brown
A725980,5/1/16,,2016-06-25T17:31:00,Jun-16,Adoption,Foster,Dog,Spayed Female,1 month,Chihuahua Shorthair Mix,Brown
A729645,4/21/16,Oliver,2016-06-25T17:41:00,Jun-16,Transfer,Partner,Dog,Intact Male,2 months,Dachshund Longhair Mix,Tricolor
A729647,4/21/16,,2016-06-25T17:41:00,Jun-16,Transfer,Partner,Dog,Intact Female,2 months,Dachshund Longhair Mix,Brown/Black
A729617,10/21/15,,2016-06-25T17:44:00,Jun-16,Adoption,,Dog,Neutered Male,8 months,Chihuahua Longhair Mix,Tan
A728384,4/18/16,Shadow,2016-06-25T17:44:00,Jun-16,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Blue Tabby
A729644,8/21/15,*Gable,2016-06-25T17:45:00,Jun-16,Adoption,,Dog,Neutered Male,10 months,Labrador Retriever Mix,Chocolate
A726177,4/7/16,,2016-06-25T18:05:00,Jun-16,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby/White
A726386,4/10/16,*Sky,2016-06-25T18:27:00,Jun-16,Adoption,,Cat,Neutered Male,2 months,Domestic Longhair Mix,Blue
A726384,4/10/16,*Blue,2016-06-25T18:28:00,Jun-16,Adoption,,Cat,Spayed Female,2 months,Domestic Longhair Mix,Blue/White
A727770,4/10/16,*Grasshopper,2016-06-25T18:30:00,Jun-16,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby
A727766,4/10/16,*Cricket,2016-06-25T18:30:00,Jun-16,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Orange Tabby/White
A725580,4/15/16,Mcpherson,2016-06-25T18:35:00,Jun-16,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Brown Tabby
A729613,6/21/14,*Bonnie,2016-06-25T18:43:00,Jun-16,Adoption,,Dog,Intact Female,2 years,Beagle Mix,Tricolor
A726562,2/21/07,Little Hero,2016-06-25T19:05:00,Jun-16,Adoption,,Cat,Spayed Female,9 years,Domestic Shorthair Mix,Blue/White
A727972,3/25/16,*Ryder,2016-06-25T19:19:00,Jun-16,Adoption,,Cat,Spayed Female,3 months,Domestic Shorthair,Brown Tabby
A729971,3/26/16,Rj,2016-06-26T13:38:51,Jun-16,Transfer,Partner,Dog,Intact Male,3 months,Labrador Retriever Mix,Brown/White
A729913,6/25/14,,2016-06-26T09:00:00,Jun-16,Transfer,SCRP,Cat,Intact Male,2 years,Domestic Longhair Mix,White/Blue Tabby
A729915,6/25/15,,2016-06-26T09:00:00,Jun-16,Transfer,SCRP,Cat,Intact Male,1 year,Siamese Mix,Seal Point
A729916,6/25/14,,2016-06-26T09:00:00,Jun-16,Transfer,SCRP,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Brown Tabby
A729901,6/25/14,,2016-06-26T09:00:00,Jun-16,Transfer,SCRP,Cat,Intact Male,2 years,Domestic Shorthair Mix,Blue
A729906,10/25/15,,2016-06-26T09:00:00,Jun-16,Transfer,SCRP,Cat,Intact Female,8 months,Domestic Shorthair Mix,Calico
